Location,x,t,nFx
Japan,10,1950,0
Japan,15,1950,0.013
Japan,20,1950,0.16
Japan,25,1950,0.238
Japan,30,1950,0.177
Japan,35,1950,0.105
Japan,40,1950,0.037
Japan,45,1950,0.002
Japan,50,1950,0
Japan,10,1951,0
Japan,15,1951,0.01
Japan,20,1951,0.141
Japan,25,1951,0.218
Japan,30,1951,0.16
Japan,35,1951,0.09
Japan,40,1951,0.03
Japan,45,1951,0.002
Japan,50,1951,0
Japan,10,1952,0
Japan,15,1952,0.009
Japan,20,1952,0.129
Japan,25,1952,0.205
Japan,30,1952,0.148
Japan,35,1952,0.077
Japan,40,1952,0.024
Japan,45,1952,0.001
Japan,50,1952,0
Japan,10,1953,0
Japan,15,1953,0.007
Japan,20,1953,0.12
Japan,25,1953,0.192
Japan,30,1953,0.133
Japan,35,1953,0.065
Japan,40,1953,0.019
Japan,45,1953,0.001
Japan,50,1953,0
Japan,10,1954,0
Japan,15,1954,0.006
Japan,20,1954,0.114
Japan,25,1954,0.183
Japan,30,1954,0.122
Japan,35,1954,0.056
Japan,40,1954,0.015
Japan,45,1954,0.001
Japan,50,1954,0
Japan,10,1955,0
Japan,15,1955,0.006
Japan,20,1955,0.112
Japan,25,1955,0.181
Japan,30,1955,0.114
Japan,35,1955,0.05
Japan,40,1955,0.013
Japan,45,1955,0.001
Japan,50,1955,0
Japan,10,1956,0
Japan,15,1956,0.005
Japan,20,1956,0.108
Japan,25,1956,0.176
Japan,30,1956,0.103
Japan,35,1956,0.044
Japan,40,1956,0.011
Japan,45,1956,0.001
Japan,50,1956,0
Japan,10,1957,0
Japan,15,1957,0.004
Japan,20,1957,0.101
Japan,25,1957,0.171
Japan,30,1957,0.092
Japan,35,1957,0.036
Japan,40,1957,0.008
Japan,45,1957,0
Japan,50,1957,0
Japan,10,1958,0
Japan,15,1958,0.004
Japan,20,1958,0.108
Japan,25,1958,0.181
Japan,30,1958,0.091
Japan,35,1958,0.033
Japan,40,1958,0.007
Japan,45,1958,0
Japan,50,1958,0
Japan,10,1959,0
Japan,15,1959,0.004
Japan,20,1959,0.11
Japan,25,1959,0.18
Japan,30,1959,0.085
Japan,35,1959,0.029
Japan,40,1959,0.006
Japan,45,1959,0
Japan,50,1959,0
Japan,10,1960,0
Japan,15,1960,0.004
Japan,20,1960,0.108
Japan,25,1960,0.182
Japan,30,1960,0.081
Japan,35,1960,0.024
Japan,40,1960,0.005
Japan,45,1960,0
Japan,50,1960,0
Japan,10,1961,0
Japan,15,1961,0.004
Japan,20,1961,0.102
Japan,25,1961,0.185
Japan,30,1961,0.08
Japan,35,1961,0.022
Japan,40,1961,0.005
Japan,45,1961,0
Japan,50,1961,0
Japan,10,1962,0
Japan,15,1962,0.004
Japan,20,1962,0.1
Japan,25,1962,0.19
Japan,30,1962,0.08
Japan,35,1962,0.02
Japan,40,1962,0.004
Japan,45,1962,0
Japan,50,1962,0
Japan,10,1963,0
Japan,15,1963,0.003
Japan,20,1963,0.099
Japan,25,1963,0.194
Japan,30,1963,0.083
Japan,35,1963,0.019
Japan,40,1963,0.004
Japan,45,1963,0
Japan,50,1963,0
Japan,10,1964,0
Japan,15,1964,0.003
Japan,20,1964,0.106
Japan,25,1964,0.197
Japan,30,1964,0.084
Japan,35,1964,0.019
Japan,40,1964,0.003
Japan,45,1964,0
Japan,50,1964,0
Japan,10,1965,0
Japan,15,1965,0.003
Japan,20,1965,0.115
Japan,25,1965,0.201
Japan,30,1965,0.087
Japan,35,1965,0.02
Japan,40,1965,0.003
Japan,45,1965,0
Japan,50,1965,0
Japan,10,1966,0
Japan,15,1966,0.003
Japan,20,1966,0.09
Japan,25,1966,0.152
Japan,30,1966,0.065
Japan,35,1966,0.016
Japan,40,1966,0.003
Japan,45,1966,0
Japan,50,1966,0
Japan,10,1967,0
Japan,15,1967,0.005
Japan,20,1967,0.105
Japan,25,1967,0.214
Japan,30,1967,0.091
Japan,35,1967,0.02
Japan,40,1967,0.003
Japan,45,1967,0
Japan,50,1967,0
Japan,10,1968,0
Japan,15,1968,0.005
Japan,20,1968,0.092
Japan,25,1968,0.21
Japan,30,1968,0.088
Japan,35,1968,0.02
Japan,40,1968,0.003
Japan,45,1968,0
Japan,50,1968,0
Japan,10,1969,0
Japan,15,1969,0.005
Japan,20,1969,0.085
Japan,25,1969,0.21
Japan,30,1969,0.086
Japan,35,1969,0.02
Japan,40,1969,0.003
Japan,45,1969,0
Japan,50,1969,0
Japan,10,1970,0
Japan,15,1970,0.005
Japan,20,1970,0.092
Japan,25,1970,0.207
Japan,30,1970,0.086
Japan,35,1970,0.02
Japan,40,1970,0.003
Japan,45,1970,0
Japan,50,1970,0
Japan,10,1971,0
Japan,15,1971,0.005
Japan,20,1971,0.109
Japan,25,1971,0.197
Japan,30,1971,0.088
Japan,35,1971,0.019
Japan,40,1971,0.002
Japan,45,1971,0
Japan,50,1971,0
Japan,10,1972,0
Japan,15,1972,0.005
Japan,20,1972,0.122
Japan,25,1972,0.193
Japan,30,1972,0.089
Japan,35,1972,0.019
Japan,40,1972,0.002
Japan,45,1972,0
Japan,50,1972,0
Japan,10,1973,0
Japan,15,1973,0.005
Japan,20,1973,0.125
Japan,25,1973,0.198
Japan,30,1973,0.089
Japan,35,1973,0.019
Japan,40,1973,0.002
Japan,45,1973,0
Japan,50,1973,0
Japan,10,1974,0
Japan,15,1974,0.005
Japan,20,1974,0.12
Japan,25,1974,0.197
Japan,30,1974,0.082
Japan,35,1974,0.016
Japan,40,1974,0.002
Japan,45,1974,0
Japan,50,1974,0
Japan,10,1975,0
Japan,15,1975,0.004
Japan,20,1975,0.111
Japan,25,1975,0.193
Japan,30,1975,0.07
Japan,35,1975,0.015
Japan,40,1975,0.002
Japan,45,1975,0
Japan,50,1975,0
Japan,10,1976,0
Japan,15,1976,0.004
Japan,20,1976,0.102
Japan,25,1976,0.19
Japan,30,1976,0.063
Japan,35,1976,0.014
Japan,40,1976,0.002
Japan,45,1976,0
Japan,50,1976,0
Japan,10,1977,0
Japan,15,1977,0.003
Japan,20,1977,0.093
Japan,25,1977,0.184
Japan,30,1977,0.066
Japan,35,1977,0.014
Japan,40,1977,0.002
Japan,45,1977,0
Japan,50,1977,0
Japan,10,1978,0
Japan,15,1978,0.003
Japan,20,1978,0.087
Japan,25,1978,0.182
Japan,30,1978,0.073
Japan,35,1978,0.014
Japan,40,1978,0.002
Japan,45,1978,0
Japan,50,1978,0
Japan,10,1979,0
Japan,15,1979,0.003
Japan,20,1979,0.082
Japan,25,1979,0.178
Japan,30,1979,0.077
Japan,35,1979,0.014
Japan,40,1979,0.002
Japan,45,1979,0
Japan,50,1979,0
Japan,10,1980,0
Japan,15,1980,0.003
Japan,20,1980,0.078
Japan,25,1980,0.178
Japan,30,1980,0.077
Japan,35,1980,0.013
Japan,40,1980,0.001
Japan,45,1980,0
Japan,50,1980,0
Japan,10,1981,0
Japan,15,1981,0.004
Japan,20,1981,0.073
Japan,25,1981,0.174
Japan,30,1981,0.074
Japan,35,1981,0.012
Japan,40,1981,0.001
Japan,45,1981,0
Japan,50,1981,0
Japan,10,1982,0
Japan,15,1982,0.004
Japan,20,1982,0.072
Japan,25,1982,0.176
Japan,30,1982,0.073
Japan,35,1982,0.014
Japan,40,1982,0.002
Japan,45,1982,0
Japan,50,1982,0
Japan,10,1983,0
Japan,15,1983,0.004
Japan,20,1983,0.07
Japan,25,1983,0.178
Japan,30,1983,0.076
Japan,35,1983,0.016
Japan,40,1983,0.002
Japan,45,1983,0
Japan,50,1983,0
Japan,10,1984,0
Japan,15,1984,0.004
Japan,20,1984,0.067
Japan,25,1984,0.179
Japan,30,1984,0.079
Japan,35,1984,0.018
Japan,40,1984,0.002
Japan,45,1984,0
Japan,50,1984,0
Japan,10,1985,0
Japan,15,1985,0.004
Japan,20,1985,0.062
Japan,25,1985,0.176
Japan,30,1985,0.083
Japan,35,1985,0.019
Japan,40,1985,0.002
Japan,45,1985,0
Japan,50,1985,0
Japan,10,1986,0
Japan,15,1986,0.004
Japan,20,1986,0.059
Japan,25,1986,0.168
Japan,30,1986,0.084
Japan,35,1986,0.018
Japan,40,1986,0.001
Japan,45,1986,0
Japan,50,1986,0
Japan,10,1987,0
Japan,15,1987,0.004
Japan,20,1987,0.057
Japan,25,1987,0.167
Japan,30,1987,0.088
Japan,35,1987,0.018
Japan,40,1987,0.002
Japan,45,1987,0
Japan,50,1987,0
Japan,10,1988,0
Japan,15,1988,0.003
Japan,20,1988,0.053
Japan,25,1988,0.161
Japan,30,1988,0.091
Japan,35,1988,0.018
Japan,40,1988,0.002
Japan,45,1988,0
Japan,50,1988,0
Japan,10,1989,0
Japan,15,1989,0.003
Japan,20,1989,0.048
Japan,25,1989,0.147
Japan,30,1989,0.091
Japan,35,1989,0.019
Japan,40,1989,0.002
Japan,45,1989,0
Japan,50,1989,0
Japan,10,1990,0
Japan,15,1990,0.003
Japan,20,1990,0.044
Japan,25,1990,0.14
Japan,30,1990,0.092
Japan,35,1990,0.02
Japan,40,1990,0.002
Japan,45,1990,0
Japan,50,1990,0
Japan,10,1991,0
Japan,15,1991,0.004
Japan,20,1991,0.045
Japan,25,1991,0.138
Japan,30,1991,0.094
Japan,35,1991,0.021
Japan,40,1991,0.002
Japan,45,1991,0
Japan,50,1991,0
Japan,10,1992,0
Japan,15,1992,0.004
Japan,20,1992,0.045
Japan,25,1992,0.132
Japan,30,1992,0.094
Japan,35,1992,0.022
Japan,40,1992,0.002
Japan,45,1992,0
Japan,50,1992,0
Japan,10,1993,0
Japan,15,1993,0.004
Japan,20,1993,0.042
Japan,25,1993,0.126
Japan,30,1993,0.094
Japan,35,1993,0.023
Japan,40,1993,0.002
Japan,45,1993,0
Japan,50,1993,0
Japan,10,1994,0
Japan,15,1994,0.004
Japan,20,1994,0.042
Japan,25,1994,0.125
Japan,30,1994,0.098
Japan,35,1994,0.026
Japan,40,1994,0.002
Japan,45,1994,0
Japan,50,1994,0
Japan,10,1995,0
Japan,15,1995,0.004
Japan,20,1995,0.041
Japan,25,1995,0.115
Japan,30,1995,0.096
Japan,35,1995,0.027
Japan,40,1995,0.002
Japan,45,1995,0
Japan,50,1995,0
Japan,10,1996,0
Japan,15,1996,0.004
Japan,20,1996,0.041
Japan,25,1996,0.114
Japan,30,1996,0.096
Japan,35,1996,0.028
Japan,40,1996,0.002
Japan,45,1996,0
Japan,50,1996,0
Japan,10,1997,0
Japan,15,1997,0.004
Japan,20,1997,0.04
Japan,25,1997,0.109
Japan,30,1997,0.094
Japan,35,1997,0.029
Japan,40,1997,0.003
Japan,45,1997,0
Japan,50,1997,0
Japan,10,1998,0
Japan,15,1998,0.005
Japan,20,1998,0.041
Japan,25,1998,0.104
Japan,30,1998,0.095
Japan,35,1998,0.03
Japan,40,1998,0.003
Japan,45,1998,0
Japan,50,1998,0
Japan,10,1999,0
Japan,15,1999,0.005
Japan,20,1999,0.04
Japan,25,1999,0.099
Japan,30,1999,0.093
Japan,35,1999,0.031
Japan,40,1999,0.003
Japan,45,1999,0
Japan,50,1999,0
Japan,10,2000,0
Japan,15,2000,0.005
Japan,20,2000,0.041
Japan,25,2000,0.099
Japan,30,2000,0.094
Japan,35,2000,0.033
Japan,40,2000,0.004
Japan,45,2000,0
Japan,50,2000,0
Japan,10,2001,0
Japan,15,2001,0.006
Japan,20,2001,0.041
Japan,25,2001,0.095
Japan,30,2001,0.091
