Location,x,t,nKx
Japan,0,1950,11364999
Japan,5,1950,9661579
Japan,10,1950,8819623
Japan,15,1950,8735657
Japan,20,1950,7929399
Japan,25,1950,6334298
Japan,30,1950,5249078
Japan,35,1950,5114773
Japan,40,1950,4521850
Japan,45,1950,4012871
Japan,50,1950,3405279
Japan,55,1950,2766084
Japan,60,1950,2311572
Japan,65,1950,1757938
Japan,70,1950,1193939
Japan,75,1950,704642
Japan,80,1950,332502
Japan,85,1950,111126
Japan,90,1950,23091
Japan,95,1950,2592
Japan,100,1950,153
Japan,0,1951,11663233
Japan,5,1951,9392610
Japan,10,1951,8928540
Japan,15,1951,8825961
Japan,20,1951,8074755
Japan,25,1951,6662398
Japan,30,1951,5338726
Japan,35,1951,5150618
Japan,40,1951,4669614
Japan,45,1951,4014664
Japan,50,1951,3519959
Japan,55,1951,2851268
Japan,60,1951,2366661
Japan,65,1951,1777189
Japan,70,1951,1235544
Japan,75,1951,727303
Japan,80,1951,341708
Japan,85,1951,115109
Japan,90,1951,24644
Japan,95,1951,2804
Japan,100,1951,166
Japan,0,1952,11426508
Japan,5,1952,9468422
Japan,10,1952,9109688
Japan,15,1952,8876300
Japan,20,1952,8219184
Japan,25,1952,7020150
Japan,30,1952,5458086
Japan,35,1952,5159811
Japan,40,1952,4794805
Japan,45,1952,4041720
Japan,50,1952,3644075
Japan,55,1952,2942447
Japan,60,1952,2414073
Japan,65,1952,1806771
Japan,70,1952,1283053
Japan,75,1952,753399
Japan,80,1952,353640
Japan,85,1952,119805
Japan,90,1952,26544
Japan,95,1952,3102
Japan,100,1952,183
Japan,0,1953,10706439
Japan,5,1953,9955175
Japan,10,1953,9334792
Japan,15,1953,8845070
Japan,20,1953,8358620
Japan,25,1953,7335530
Japan,30,1953,5667979
Japan,35,1953,5136395
Japan,40,1953,4875204
Japan,45,1953,4124868
Japan,50,1953,3746047
Japan,55,1953,3039890
Japan,60,1953,2446608
Japan,65,1953,1858688
Japan,70,1953,1327957
Japan,75,1953,779057
Japan,80,1953,364190
Japan,85,1953,123138
Japan,90,1953,27915
Japan,95,1953,3380
Japan,100,1953,199
Japan,0,1954,9868557
Japan,5,1954,10515748
Japan,10,1954,9574780
Japan,15,1954,8749775
Japan,20,1954,8471676
Japan,25,1954,7596073
Japan,30,1954,5957082
Japan,35,1954,5104372
Japan,40,1954,4943583
Japan,45,1954,4246600
Japan,50,1954,3817474
Japan,55,1954,3136090
Japan,60,1954,2474445
Japan,65,1954,1925422
Japan,70,1954,1367017
Japan,75,1954,807804
Japan,80,1954,376279
Japan,85,1954,127419
Japan,90,1954,28980
Japan,95,1954,3626
Japan,100,1954,216
Japan,0,1955,9189466
Japan,5,1955,11044439
Japan,10,1955,9556252
Japan,15,1955,8723262
Japan,20,1955,8569067
Japan,25,1955,7791644
Japan,30,1955,6263969
Japan,35,1955,5145628
Japan,40,1955,5000217
Japan,45,1955,4388600
Japan,50,1955,3859609
Japan,55,1955,3228831
Japan,60,1955,2529651
Japan,65,1955,1994257
Japan,70,1955,1400420
Japan,75,1955,842573
Japan,80,1955,393007
Japan,85,1955,134417
Japan,90,1955,30748
Japan,95,1955,3982
Japan,100,1955,244
Japan,0,1956,8737619
Japan,5,1956,11378700
Japan,10,1956,9294834
Japan,15,1956,8835203
Japan,20,1956,8659257
Japan,25,1956,7942550
Japan,30,1956,6598603
Japan,35,1956,5242888
Japan,40,1956,5042592
Japan,45,1956,4536579
Japan,50,1956,3865930
Japan,55,1956,3342184
Japan,60,1956,2613807
Japan,65,1956,2049536
Japan,70,1956,1420737
