age,country,nLx,nKx,nFx
0,Australia,498495.35,751.868,0
5,Australia,498195.5,740.33,0
10,Australia,497994.4,688.526,0
15,Australia,497637.1,717.395,15.527
20,Australia,497040.3,812.546,52.881
25,Australia,496408.8,884.737,102.093
30,Australia,495597.7,882.495,125.573
35,Australia,494402.8,773.763,71.542
40,Australia,492578,860.312,14.986
45,Australia,489834.8,774.758,0.878
50,Australia,485680,803.661,0
55,Australia,479619.7,739.273,0
60,Australia,470928.5,649.86,0
65,Australia,457988.4,596.169,0
70,Australia,436911,433.707,0
75,Australia,402408.8,329.561,0
80,Australia,344558.9,259.401,0
85,Australia,251887.5,181.922,0
90,Australia,135903.9,88.433,0
95,Australia,45120.82,21.292,0
100,Australia,7976.965,3.029,0
0,Kenya,479797.26,3553.193,0
5,Kenya,472567.4,3223.606,0
10,Kenya,468749.3,2808.275,0
15,Kenya,464112,2363.955,94.155
20,Kenya,458049.8,2106.013,220.702
25,Kenya,450972.4,2012.776,221.145
30,Kenya,443039.8,1718.304,163.019
35,Kenya,433321.7,1314.137,111.548
40,Kenya,421418.2,945.156,46.324
45,Kenya,408892,714.815,30.527
50,Kenya,393399.1,612.794,0
55,Kenya,374117.4,530.91,0
60,Kenya,346818.2,426.942,0
65,Kenya,307502.7,290.336,0
70,Kenya,253578.6,177.52,0
75,Kenya,187441.3,124.798,0
80,Kenya,117748,73.051,0
85,Kenya,60390.84,28.306,0
90,Kenya,24481.9,7.206,0
95,Kenya,7761.506,1.163,0
100,Kenya,2559.442,0.109,0
0,Singapore,498911.5,130.043,0
5,Singapore,498580.9,140.352,0
10,Singapore,498317.3,155.326,0
15,Singapore,498048.7,174.52,3.909
20,Singapore,497539.6,187.771,20.127
25,Singapore,496828.8,179.755,73.771
30,Singapore,495970.5,205.291,95.039
35,Singapore,494949.2,225.843,45.535
40,Singapore,493617.8,236.147,7.926
45,Singapore,491419.3,227.12,0.293
50,Singapore,487910.7,230.44,0
55,Singapore,482541.8,213.363,0
60,Singapore,473831.9,173.743,0
65,Singapore,458867,132.211,0
70,Singapore,435390.8,78.649,0
75,Singapore,397218.3,63.757,0
80,Singapore,334899,43.278,0
85,Singapore,254941,24.582,0
90,Singapore,170723.6,11.799,0
95,Singapore,95422.75,3.78,0
100,Singapore,56712.06,0.935,0
0,Niger,465069.31,2031.254,0
5,Niger,452003.4,1603.349,0
10,Niger,447915,1279.366,0
15,Niger,444170,1021.085,208.486
20,Niger,438783.5,797.591,334.164
25,Niger,432316.7,634.829,325.584
30,Niger,425342.2,525.48,287.264
35,Niger,417772.9,443.583,219.937
40,Niger,409081.4,364.809,101.937
45,Niger,398956.7,299.375,49.328
50,Niger,386048.1,249.798,0
55,Niger,368437.3,196.005,0
60,Niger,342753.3,149.08,0
65,Niger,303965.1,121.163,0
70,Niger,247024.7,84.23,0
75,Niger,171493.9,45.144,0
80,Niger,91086.39,18.239,0
85,Niger,32057.5,4.803,0
90,Niger,6461.972,0.723,0
95,Niger,699.14,0.057,0
100,Niger,44.171,0.002,0
0,Russia,496151.83,4456.976,0
5,Russia,495544.2,3876.044,0
10,Russia,495014,3379.105,0
15,Russia,494216.4,3080.491,26.925
20,Russia,492823.9,4353.862,89.273
25,Russia,490619.7,6211.355,103.714
30,Russia,486972.5,5942.598,71.88
35,Russia,482018.4,5451.257,33.555
40,Russia,476008.1,5111.965,6.714
45,Russia,468758.3,4484.912,0.299
50,Russia,459300.6,5907.269,0
55,Russia,445289.7,6019.691,0
60,Russia,424748.8,5598.889,0
65,Russia,396455.5,3540.95,0
70,Russia,356345.5,2653.671,0
75,Russia,294830.1,3439.047,0
80,Russia,208700,1859.229,0
85,Russia,114291.9,1147.628,0
90,Russia,41289.22,259.861,0
95,Russia,8039.644,33.596,0
100,Russia,812.222,4.475,0
0,Senegal,480043.51,1282.875,0
5,Senegal,476272.3,1071.894,0
10,Senegal,473740.8,915.188,0
15,Senegal,471336.5,785.678,87.018
20,Senegal,467701.5,694.392,209.374
25,Senegal,463199.6,609.108,244.246
30,Senegal,458181.3,516.123,224.711
35,Senegal,452513.3,432.283,171.549
40,Senegal,445580.2,346.197,81.059
45,Senegal,436957.7,269.203,18.343
50,Senegal,425405.8,215.458,0
55,Senegal,409182.1,172.888,0
60,Senegal,385059.2,135.281,0
65,Senegal,347566.9,99.648,0
70,Senegal,290101.1,75.875,0
75,Senegal,209384.5,47.887,0
80,Senegal,117213.1,22.515,0
85,Senegal,44006.31,6.845,0
90,Senegal,9498.09,1.151,0
95,Senegal,1087.638,0.1,0
100,Senegal,70.95,0.004,0
